food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
5,กรอบเค็ม,1656,กรอบเค็ม,480,NULL,6.4,6.2,23.9,2.3,1.2,29,347,58.6,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,NULL,NULL,2.6,NULL,26.3,1
7,กระท้อน,2134,กระท้อน,48.14,NULL,0.33,NULL,0.16,NULL,NULL,NULL,NULL,11.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,NULL,NULL,2
8,กระยาสารท,1657,"กระยาสารท, รสต่างๆ",524,NULL,9.55,5.4,31.37,1.66,2.73,29,83,49.56,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.5,NULL,27,NULL,NULL,0.07,NULL,NULL,2.4,NULL,21.85,1
9,กระเพาะปลา,1521,กระเพาะปลา,56,NULL,5,88.4,2.95,1,1.35,47,296,1.8,NULL,NULL,NULL,1.6,NULL,NULL,0.17,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL,NULL,NULL,63,164,1.28,NULL,2,NULL,NULL,0.01,NULL,NULL,0.9,NULL,0.6,1
10,กล้วย,696,"กล้วยน้ำว้า, สุก",118,NULL,0.78,68.6,0.15,0.91,0.52,7,4,27.18,39,NULL,25,0.99,NULL,NULL,0.03,0.08,NULL,NULL,241,NULL,NULL,NULL,NULL,NULL,NULL,26,3,NULL,13,NULL,NULL,NULL,0.04,NULL,0.3,2.4,0.13,18.47,1
10,กล้วย,697,"กล้วยหอม, สุก",98,NULL,1.18,73.9,0.11,0.86,0.52,14,4,22.41,62,NULL,21,NULL,NULL,NULL,NULL,0.11,NULL,NULL,347,NULL,NULL,NULL,NULL,NULL,NULL,46,5,NULL,27,NULL,NULL,NULL,NULL,NULL,0.1,1.5,0.12,19.16,1
10,กล้วย,690,"กล้วยไข่, สุก",107,NULL,1.35,71.3,0.11,0.99,0.29,5,22,24.3,211,NULL,26,0.81,NULL,NULL,0.07,0.12,NULL,NULL,243,NULL,NULL,NULL,NULL,NULL,NULL,22,18,NULL,8,NULL,NULL,NULL,0.09,NULL,0.5,2,0.18,21.5,1
11,กล้วยกวน,825,"กล้วย, กวน",340,NULL,3.3,11.5,0.2,1.6,0.6,14,225,79.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.2,NULL,35.7,1
12,กล้วยตาก,692,กล้วยตาก,301,NULL,3.3,19.9,0.7,2.55,0.8,3,50,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,6.6,NULL,63.5,1
612,กล้วยทอด,2211,กล้วยทอด,373,NULL,2,NULL,4,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
612,กล้วยทอด,1658,"กล้วย, ทอด",524,NULL,2.1,2.2,30.8,3.3,0.9,20,352,57.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,4,NULL,3,1
13,กล้วยบวชชี,1599,กล้วยบวชชี,107,NULL,0.7,73.8,2.13,1,NULL,6,147,20,31,NULL,NULL,NULL,0.15,NULL,0.01,NULL,NULL,NULL,NULL,0.01,0.06,NULL,NULL,NULL,NULL,NULL,3,1.85,NULL,1,NULL,0.06,0.05,NULL,NULL,2.4,NULL,14,1
14,กล้วยเชื่อม,1598,"กล้วยไข่, เชื่อม",238,NULL,1.2,41.3,1.8,0.7,NULL,NULL,NULL,53.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7,NULL,NULL,1
14,กล้วยเชื่อม,1597,"กล้วย, เชื่อม",79,NULL,0.8,81,1,0.5,0.73,24,55,16.6,NULL,NULL,66,NULL,NULL,NULL,0.02,0.09,NULL,NULL,577,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,8,NULL,NULL,NULL,0.4,NULL,NULL,0.1,0.93,NULL,1
15,กล้วยแขก,1658,"กล้วย, ทอด",524,NULL,2.1,2.2,30.8,3.3,0.9,20,352,57.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,4,NULL,3,1
32,ก๋วยจั๊บ,1522,ก๋วยจั๊บ,84,NULL,4.55,82.5,3.67,1.08,1.47,NULL,360,8.17,NULL,NULL,16,NULL,0.69,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,0.46,NULL,33,NULL,0.24,NULL,NULL,NULL,NULL,1.1,NULL,1
33,ก๋วยจั๊บญวน,158,"ก๋วยจั๊บญวน, เส้น, ต้มสุก",116,NULL,1.37,70.7,0.18,0.09,0.15,10,16,26.83,NULL,NULL,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,0.12,NULL,1
584,ก๋วยเตี๋ยวปลา,1527,ก๋วยเตี๋ยวเส้นปลา,70,NULL,12.87,81.9,0.73,1.1,0.4,52,228,2.47,NULL,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.05,NULL,NULL,NULL,NULL,NULL,NULL,0.41,NULL,23,NULL,0.1,NULL,NULL,NULL,0.9,NULL,NULL,1
522,ก๋วยเตี๋ยวหมู,2155,"ก๋วยเตี๋ยวเส้นเล็ก หมู ตับ แห้ง",227,NULL,8,NULL,12,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,NULL,NULL,2
38,ก๋วยเตี๋ยวเซี่ยงไฮ้,369,"ก๋วยเตี๋ยวเซี่ยงไฮ้, แห้ง",360,NULL,0.2,9.1,0.1,0.1,0.6,14,7,88.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,NULL,NULL,1
736,ก๋วยเตี๋ยวเนื้อตุ๋น,1523,"ก๋วยเตี๋ยว, เนื้อสับ",NULL,112,3.5,76.2,4.1,1,0.2,41,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,0.61,NULL,15.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
35,ก๋วยเตี๋ยวเนื้อสับ,1523,"ก๋วยเตี๋ยว, เนื้อสับ",NULL,112,3.5,76.2,4.1,1,0.2,41,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,0.61,NULL,15.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
555,ก๋วยเตี๋ยวเป็ด,1577,"เส้นเล็ก, เป็ด, น้ำ",90,NULL,4.56,80.8,5.15,2.96,NULL,NULL,NULL,6.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,NULL,NULL,1
422,ก๋วยเตี๋ยวเย็นตาโฟ,1528,"ก๋วยเตี๋ยวเส้นใหญ่, น้ำ, เย็นตาโฟ",70,NULL,3.05,84.5,2.67,1.2,0.5,98,239,8.23,NULL,NULL,NULL,0.7,NULL,NULL,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0.03,NULL,NULL,0.4,NULL,NULL,1
40,ก๋วยเตี๋ยวเส้นปลา,1527,ก๋วยเตี๋ยวเส้นปลา,70,NULL,12.87,81.9,0.73,1.1,0.4,52,228,2.47,NULL,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.05,NULL,NULL,NULL,NULL,NULL,NULL,0.41,NULL,23,NULL,0.1,NULL,NULL,NULL,0.9,NULL,NULL,1
41,ก๋วยเตี๋ยวแกง,1526,"ก๋วยเตี๋ยวแขก (ก๋วยเตี๋ยวแกง)",NULL,131,6.6,75,7.4,1.6,0.4,59,NULL,NULL,NULL,NULL,NULL,1.6,NULL,NULL,0.86,NULL,9.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,1
576,กะเพราไก่,1561,ข้าวราดไก่ผัดใบกะเพรา,NULL,188,8.61,59.5,6.55,1.74,0.4,172,NULL,NULL,NULL,NULL,NULL,2.5,NULL,NULL,0.19,NULL,23.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,1
